"epoch","unet-biomed-2048 - _step","unet-biomed-2048 - _step__MIN","unet-biomed-2048 - _step__MAX","unet-biomed-2048 - Segmentation metrics.Weighted Dice","unet-biomed-2048 - Segmentation metrics.Weighted Dice__MIN","unet-biomed-2048 - Segmentation metrics.Weighted Dice__MAX","unet-biomed-1024 - _step","unet-biomed-1024 - _step__MIN","unet-biomed-1024 - _step__MAX","unet-biomed-1024 - Segmentation metrics.Weighted Dice","unet-biomed-1024 - Segmentation metrics.Weighted Dice__MIN","unet-biomed-1024 - Segmentation metrics.Weighted Dice__MAX","unet-biomed-512 - _step","unet-biomed-512 - _step__MIN","unet-biomed-512 - _step__MAX","unet-biomed-512 - Segmentation metrics.Weighted Dice","unet-biomed-512 - Segmentation metrics.Weighted Dice__MIN","unet-biomed-512 - Segmentation metrics.Weighted Dice__MAX","unet-biomed-384 - _step","unet-biomed-384 - _step__MIN","unet-biomed-384 - _step__MAX","unet-biomed-384 - Segmentation metrics.Weighted Dice","unet-biomed-384 - Segmentation metrics.Weighted Dice__MIN","unet-biomed-384 - Segmentation metrics.Weighted Dice__MAX","unet-biomed-256 - _step","unet-biomed-256 - _step__MIN","unet-biomed-256 - _step__MAX","unet-biomed-256 - Segmentation metrics.Weighted Dice","unet-biomed-256 - Segmentation metrics.Weighted Dice__MIN","unet-biomed-256 - Segmentation metrics.Weighted Dice__MAX","unet-biomed-192 - _step","unet-biomed-192 - _step__MIN","unet-biomed-192 - _step__MAX","unet-biomed-192 - Segmentation metrics.Weighted Dice","unet-biomed-192 - Segmentation metrics.Weighted Dice__MIN","unet-biomed-192 - Segmentation metrics.Weighted Dice__MAX","unet-biomed-128 - _step","unet-biomed-128 - _step__MIN","unet-biomed-128 - _step__MAX","unet-biomed-128 - Segmentation metrics.Weighted Dice","unet-biomed-128 - Segmentation metrics.Weighted Dice__MIN","unet-biomed-128 - Segmentation metrics.Weighted Dice__MAX"
"0","35","23","47","0.25","0.25","0.25","114.5","76","153","0.18618275225162506","0.12816616892814636","0.24419933557510376","1119.5","746","1493","0.28318028151988983","0.23722288012504578","0.3291376829147339","1077.5","718","1437","0.3994615823030472","0.33688345551490784","0.4620397090911865","1271","847","1695","0.27727285772562027","0.1901559680700302","0.3643897473812103","974","649","1299","0.24973047524690628","0.1446010023355484","0.35485994815826416","1299.5","866","1733","0.1139676421880722","0.06072621047496796","0.16720907390117645"
"1","83","71","95","0.13062229193747044","0.011244583874940872","0.25","268.5","230","307","0.2947387397289276","0.28646284341812134","0.3030146360397339","2613.5","2240","2987","0.46236981451511383","0.4281274080276489","0.49661222100257874","2515.5","2156","2875","0.40712103247642517","0.3340405225753784","0.4802015423774719","2967","2543","3391","0.3821047842502594","0.3692474663257599","0.3949621021747589","2274","1949","2599","0.5461381822824478","0.48907551169395447","0.6032008528709412","3033.5","2600","3467","0.43381041288375854","0.36740827560424805","0.500212550163269"
"2","131","119","143","0.24854379333555698","0.0596766360104084","0.43741095066070557","422.5","384","461","0.3174690753221512","0.31170693039894104","0.32323122024536133","4107.5","3734","4481","0.4826342612504959","0.4585060775279999","0.5067624449729919","3953.5","3594","4313","0.3972535729408264","0.3925654888153076","0.4019416570663452","4663","4239","5087","0.4574277251958847","0.44300028681755066","0.47185516357421875","3574","3249","3899","0.5042580515146255","0.48111405968666077","0.5274020433425903","4767.5","4334","5201","0.5742927193641663","0.5266004800796509","0.6219849586486816"
"3","179","167","191","0.35770517587661743","0.33474642038345337","0.3806639313697815","576.5","538","615","0.31889447569847107","0.2878701686859131","0.34991878271102905","5601.5","5228","5975","0.526665210723877","0.4966527819633484","0.5566776394844055","5391.5","5032","5751","0.4980069249868393","0.4771304428577423","0.5188834071159363","6359","5935","6783","0.48206476867198944","0.44445928931236267","0.5196702480316162","4874","4549","5199","0.5936445891857147","0.5528121590614319","0.6344770193099976","6501.5","6068","6935","0.6614619791507721","0.6517612338066101","0.6711627244949341"
"4","227","215","239","0.3626701533794403","0.34359797835350037","0.38174232840538025","730.5","692","769","0.2711024135351181","0.2690616846084595","0.27314314246177673","7095.5","6722","7469","0.5168669521808624","0.5010687708854675","0.5326651334762573","6829.5","6470","7189","0.5113738924264908","0.47538140416145325","0.5473663806915283","8055","7631","8479","0.48891499638557434","0.4674873948097229","0.5103425979614258","6174","5849","6499","0.6169137954711914","0.6166268587112427","0.6172007322311401","8235.5","7802","8669","0.716564953327179","0.6969442367553711","0.7361856698989868"
"5","275","263","287","0.33020953834056854","0.3277784287929535","0.3326406478881836","884.5","846","923","0.2974618375301361","0.28445473313331604","0.3104689419269562","8589.5","8216","8963","0.5894455015659332","0.5802231431007385","0.5986678600311279","8267.5","7908","8627","0.5033925175666809","0.46308016777038574","0.5437048673629761","9751","9327","10175","0.5494993031024933","0.5126125812530518","0.5863860249519348","7474","7149","7799","0.675823450088501","0.621870219707489","0.7297766804695129","9969.5","9536","10403","0.6895669996738434","0.6673428416252136","0.7117911577224731"
"6","323","311","335","0.3165533095598221","0.30304521322250366","0.3300614058971405","1038.5","1000","1077","0.3052565008401871","0.2801114618778229","0.33040153980255127","10083.5","9710","10457","0.5654001533985138","0.543071448802948","0.5877288579940796","9705.5","9346","10065","0.5186181962490082","0.46111273765563965","0.5761236548423767","11447","11023","11871","0.5135450959205627","0.49136441946029663","0.5357257723808289","8774","8449","9099","0.7128379642963409","0.6893438100814819","0.7363321185112","11703.5","11270","12137","0.6678184866905212","0.6501129269599915","0.685524046421051"
"7","371","359","383","0.2960696369409561","0.2905420660972595","0.3015972077846527","1192.5","1154","1231","0.4047049283981323","0.40263640880584717","0.4067734479904175","11577.5","11204","11951","0.5534355044364929","0.5036998391151428","0.603171169757843","11143.5","10784","11503","0.5300819873809814","0.5085312128067017","0.5516327619552612","13143","12719","13567","0.6125684082508087","0.5783337354660034","0.646803081035614","10074","9749","10399","0.6543759703636169","0.5876299142837524","0.7211220264434814","13437.5","13004","13871","0.7306636571884155","0.6907587051391602","0.7705686092376709"
"8","419","407","431","0.2632627785205841","0.25512009859085083","0.2714054584503174","1346.5","1308","1385","0.3094094693660736","0.28673335909843445","0.33208557963371277","13071.5","12698","13445","0.5671655833721161","0.5529259443283081","0.5814052224159241","12581.5","12222","12941","0.5399664044380188","0.518233060836792","0.5616997480392456","14839","14415","15263","0.6130802929401398","0.5620501637458801","0.6641104221343994","11374","11049","11699","0.743285745382309","0.7323349714279175","0.7542365193367004","15171.5","14738","15605","0.7734645009040833","0.7256166934967041","0.8213123083114624"
"9","467","455","479","0.2698231339454651","0.26596301794052124","0.27368324995040894","1500.5","1462","1539","0.538967490196228","0.5367364883422852","0.5411984920501709","14565.5","14192","14939","0.5306203663349152","0.5298431515693665","0.5313975811004639","14019.5","13660","14379","0.5619340240955353","0.547208309173584","0.5766597390174866","16535","16111","16959","0.5828751027584076","0.5783068537712097","0.5874433517456055","12674","12349","12999","0.7088757157325745","0.6812943816184998","0.7364570498466492","16905.5","16472","17339","0.7470461428165436","0.6998946070671082","0.794197678565979"
"10","515","503","527","0.26300278306007385","0.2517009377479553","0.2743046283721924","1654.5","1616","1693","0.46729955077171326","0.38683873414993286","0.5477603673934937","16059.5","15686","16433","0.5510782599449158","0.5294089913368225","0.572747528553009","15457.5","15098","15817","0.5333850979804993","0.5191637873649597","0.5476064085960388","18231","17807","18655","0.6738831400871277","0.6565487384796143","0.6912175416946411","13974","13649","14299","0.6791088283061981","0.6639392375946045","0.6942784190177917","18639.5","18206","19073","0.756397545337677","0.7541734576225281","0.7586216330528259"
"11","","","","","","","1808.5","1770","1847","0.5481630265712738","0.5402947068214417","0.556031346321106","17553.5","17180","17927","0.5762755274772644","0.5369195938110352","0.6156314611434937","16895.5","16536","17255","0.569804459810257","0.5457600951194763","0.5938488245010376","19927","19503","20351","0.6329110562801361","0.5884525775909424","0.6773695349693298","15274","14949","15599","0.7284799516201019","0.7154419422149658","0.741517961025238","20373.5","19940","20807","0.7586252987384796","0.7427930235862732","0.774457573890686"
"12","","","","","","","1962.5","1924","2001","0.44167037308216095","0.3878289461135864","0.4955118000507355","19047.5","18674","19421","0.5601562261581421","0.5231447815895081","0.5971676707267761","18333.5","17974","18693","0.5398975014686584","0.5372121930122375","0.5425828099250793","21623","21199","22047","0.5989972054958344","0.5550164580345154","0.6429779529571533","16574","16249","16899","0.7338485419750214","0.718840479850769","0.7488566040992737","22107.5","21674","22541","0.8060429990291595","0.7955793738365173","0.8165066242218018"
"13","","","","","","","2116.5","2078","2155","0.5149299204349518","0.46929603815078735","0.5605638027191162","20541.5","20168","20915","0.6055136919021606","0.5866388082504272","0.624388575553894","19771.5","19412","20131","0.5803844928741455","0.570428729057312","0.590340256690979","23319","22895","23743","0.6324144005775452","0.6073408126831055","0.6574879884719849","17874","17549","18199","0.7177222967147827","0.6990881562232971","0.7363564372062683","23841.5","23408","24275","0.7938225567340851","0.7887087464332581","0.7989363670349121"
"14","","","","","","","2270.5","2232","2309","0.5665866434574127","0.5624260306358337","0.5707472562789917","22035.5","21662","22409","0.6369602978229523","0.6244604587554932","0.6494601368904114","21209.5","20850","21569","0.5652902126312256","0.5626827478408813","0.5678976774215698","25015","24591","25439","0.639471024274826","0.5973389148712158","0.6816031336784363","19174","18849","19499","0.7344210743904114","0.7219926714897156","0.7468494772911072","25575.5","25142","26009","0.7900888621807098","0.785908043384552","0.7942696809768677"
"15","","","","","","","2424.5","2386","2463","0.5636091530323029","0.5569564700126648","0.5702618360519409","23529.5","23156","23903","0.5844099819660187","0.5724007487297058","0.5964192152023315","22647.5","22288","23007","0.5421172678470612","0.5376558303833008","0.5465787053108215","26711","26287","27135","0.630298525094986","0.6146204471588135","0.6459766030311584","20474","20149","20799","0.7179551720619202","0.6906306743621826","0.7452796697616577","27309.5","26876","27743","0.7969422340393066","0.7648342847824097","0.8290501832962036"
"16","","","","","","","2578.5","2540","2617","0.5390802919864655","0.534330427646637","0.543830156326294","25023.5","24650","25397","0.6069812178611755","0.6050514578819275","0.6089109778404236","24085.5","23726","24445","0.5578489601612091","0.5493964552879333","0.5663014650344849","28407","27983","28831","0.6454688310623169","0.6441262364387512","0.6468114256858826","21774","21449","22099","0.743779331445694","0.7293798327445984","0.7581788301467896","29043.5","28610","29477","0.7874207198619843","0.7764638662338257","0.7983775734901428"
"17","","","","","","","2732.5","2694","2771","0.6094679832458496","0.5790949463844299","0.6398410201072693","26517.5","26144","26891","0.5891434252262115","0.5723057389259338","0.6059811115264893","25523.5","25164","25883","0.515254557132721","0.5057149529457092","0.5247941613197327","30103","29679","30527","0.6336430907249451","0.6100455522537231","0.657240629196167","23074","22749","23399","0.7660036385059357","0.7573736310005188","0.7746336460113525","30777.5","30344","31211","0.8205432891845703","0.807393491268158","0.8336930871009827"
"18","","","","","","","2886.5","2848","2925","0.5379540920257568","0.5100052952766418","0.5659028887748718","28011.5","27638","28385","0.6296473741531372","0.5864096879959106","0.6728850603103638","26961.5","26602","27321","0.5713891088962555","0.5463401079177856","0.5964381098747253","31799","31375","32223","0.6434716582298279","0.5983731746673584","0.6885701417922974","24374","24049","24699","0.7224074602127075","0.7223234176635742","0.7224915027618408","32511.5","32078","32945","0.7971678674221039","0.7422895431518555","0.8520461916923523"
"19","","","","","","","3040.5","3002","3079","0.5210377275943756","0.5194243788719177","0.5226510763168335","29505.5","29132","29879","0.655733197927475","0.6378390192985535","0.6736273765563965","28399.5","28040","28759","0.5688977241516113","0.5359663367271423","0.6018291115760803","33495","33071","33919","0.6534807980060577","0.6381668448448181","0.6687947511672974","25674","25349","25999","0.7344990968704224","0.7242832183837891","0.7447149753570557","34245.5","33812","34679","0.8170135915279388","0.7835830450057983","0.8504441380500793"
"20","","","","","","","3194.5","3156","3233","0.5474078953266144","0.5274980664253235","0.5673177242279053","30999.5","30626","31373","0.6419512629508972","0.616855800151825","0.6670467257499695","29837.5","29478","30197","0.5706288814544678","0.5475665330886841","0.5936912298202515","35191","34767","35615","0.62435382604599","0.6215392351150513","0.6271684169769287","26974","26649","27299","0.7096936702728271","0.6912863254547119","0.7281010150909424","35979.5","35546","36413","0.7796518206596375","0.7789444923400879","0.780359148979187"
"21","","","","","","","3348.5","3310","3387","0.566599041223526","0.5272319912910461","0.6059660911560059","32493.5","32120","32867","0.5923087298870087","0.54497891664505","0.6396385431289673","31275.5","30916","31635","0.5577435195446014","0.511401891708374","0.6040851473808289","","","","","","","28274","27949","28599","0.7126446664333344","0.7111132144927979","0.7141761183738708","37713.5","37280","38147","0.7845506072044373","0.7477216720581055","0.821379542350769"
"22","","","","","","","3502.5","3464","3541","0.5281380712985992","0.5122367143630981","0.5440394282341003","33987.5","33614","34361","0.5995188355445862","0.5659055113792419","0.6331321597099304","32713.5","32354","33073","0.5291126072406769","0.5262190699577332","0.5320061445236206","","","","","","","29574","29249","29899","0.7259334921836853","0.7223554253578186","0.729511559009552","39447.5","39014","39881","0.7877137362957001","0.7752178907394409","0.8002095818519592"
"23","","","","","","","3656.5","3618","3695","0.565684586763382","0.5420706272125244","0.5892985463142395","35481.5","35108","35855","0.6147539019584656","0.5822896957397461","0.6472181081771851","34151.5","33792","34511","0.5337483584880829","0.5130434036254883","0.5544533133506775","","","","","","","30874","30549","31199","0.7626172006130219","0.7419520616531372","0.7832823395729065","41181.5","40748","41615","0.818558394908905","0.815788745880127","0.8213280439376831"
"24","","","","","","","3810.5","3772","3849","0.5226107239723206","0.5139684081077576","0.5312530398368835","36975.5","36602","37349","0.5543661117553711","0.5246064066886902","0.584125816822052","35589.5","35230","35949","0.5399566143751144","0.495667964220047","0.5842452645301819","","","","","","","32174","31849","32499","0.7549985647201538","0.7494620084762573","0.7605351209640503","42915.5","42482","43349","0.8036485910415649","0.7657629251480103","0.8415342569351196"
"25","","","","","","","3964.5","3926","4003","0.5669287443161011","0.5031628012657166","0.6306946873664856","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","","","","","","","4118.5","4080","4157","0.5811812579631805","0.5729494094848633","0.5894131064414978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","","","","","","","4272.5","4234","4311","0.6037823855876923","0.5768939852714539","0.6306707859039307","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""